model,fpr,tpr
logistic_regression,0.18229216039435017,0.3973568281938326
logistic_regression,0.18267134325528486,0.39823788546255506
logistic_regression,0.18409327898378994,0.4
logistic_regression,0.18447246184472463,0.4008810572687225
logistic_regression,0.18504123613612664,0.4017621145374449
logistic_regression,0.1869371504408001,0.4035242290748899
logistic_regression,0.18797990330837047,0.40440528634361234
logistic_regression,0.1894966347521092,0.4061674008810573
logistic_regression,0.19205611906341832,0.40704845814977975
logistic_regression,0.19508958195089582,0.40881057268722465
logistic_regression,0.1958479476727652,0.40969162995594716
logistic_regression,0.1964167219641672,0.41145374449339206
logistic_regression,0.19774386197743862,0.413215859030837
logistic_regression,0.19831263626884066,0.41409691629955947
logistic_regression,0.198786614845009,0.4167400881057269
logistic_regression,0.20153569058678547,0.41762114537444933
logistic_regression,0.2018200777324865,0.42026431718061674
logistic_regression,0.2024836477391222,0.4211453744493392
logistic_regression,0.20381078775239359,0.42290748898678415
logistic_regression,0.20769741207697412,0.4237885462555066
logistic_regression,0.20921414352071285,0.42555066079295156
logistic_regression,0.20930893923594654,0.426431718061674
logistic_regression,0.2116788321167883,0.42731277533039647
logistic_regression,0.21423831642809746,0.4290748898678414
logistic_regression,0.2150914778652005,0.4299559471365639
logistic_regression,0.21622902644800454,0.43171806167400884
logistic_regression,0.21651341359370557,0.4325991189427313
logistic_regression,0.21708218788510758,0.4343612334801762
logistic_regression,0.2180301450374443,0.4352422907488987
logistic_regression,0.2183145321831453,0.4370044052863436
logistic_regression,0.218409327898379,0.43788546255506605
logistic_regression,0.2190728979050147,0.43876651982378856
logistic_regression,0.21945208076594938,0.44140969162995597
logistic_regression,0.22021044648781876,0.4422907488986784
logistic_regression,0.22096881220968811,0.4440528634361233
logistic_regression,0.22210636079249219,0.44493392070484583
logistic_regression,0.22276993079912788,0.44669603524229073
logistic_regression,0.22390747938193192,0.44757709251101324
logistic_regression,0.22542421082567068,0.4484581497797357
logistic_regression,0.22608778083230638,0.4511013215859031
logistic_regression,0.22788889942174614,0.45198237885462555
logistic_regression,0.22969001801118588,0.45374449339207046
logistic_regression,0.2303535880178216,0.45462555066079297
logistic_regression,0.23234429803772869,0.4572687224669604
logistic_regression,0.23575694378614087,0.4581497797356828
logistic_regression,0.23746326666034695,0.45991189427312773
logistic_regression,0.23784244952128164,0.46255506607929514
logistic_regression,0.24040193383259076,0.46343612334801765
logistic_regression,0.24277182671343256,0.46519823788546255
logistic_regression,0.24808038676651814,0.466079295154185
logistic_regression,0.24826997819698549,0.46784140969162996
logistic_regression,0.24940752677978956,0.4687224669603524
logistic_regression,0.24969191392549056,0.47048458149779737
logistic_regression,0.25139823679969664,0.4713656387665198
logistic_regression,0.25443169968717416,0.4731277533039648
logistic_regression,0.25509526969380986,0.47400881057268723
logistic_regression,0.25537965683951086,0.4748898678414097
logistic_regression,0.2591714854488577,0.47665198237885464
logistic_regression,0.2602142383164281,0.47841409691629955
logistic_regression,0.2609726040382975,0.4801762114537445
logistic_regression,0.26315290548867193,0.48105726872246696
logistic_regression,0.26324770120390556,0.4828193832599119
logistic_regression,0.26846146554175754,0.4845814977973568
logistic_regression,0.26893544411792586,0.4863436123348018
logistic_regression,0.2697886055550289,0.48722466960352423
logistic_regression,0.27007299270072993,0.4881057268722467
logistic_regression,0.2721584984358707,0.48986784140969164
logistic_regression,0.27367522987960946,0.4907488986784141
logistic_regression,0.27424400417101147,0.49251101321585905
logistic_regression,0.27585553132998386,0.4933920704845815
