model,recall,precision
logistic_regression,0.824669603524229,0.11788413098236776
logistic_regression,0.8237885462555066,0.1179959616355376
logistic_regression,0.8220264317180617,0.11799671177437714
logistic_regression,0.8220264317180617,0.11825095057034221
logistic_regression,0.8211453744493392,0.11837927092594945
logistic_regression,0.8211453744493392,0.11862033855161003
logistic_regression,0.8211453744493392,0.11887755102040816
logistic_regression,0.8185022026431719,0.11875239677872938
logistic_regression,0.8185022026431719,0.11899577302420904
logistic_regression,0.8176211453744493,0.11912708600770218
logistic_regression,0.8176211453744493,0.11938762382606458
logistic_regression,0.8149779735682819,0.11926250644662197
logistic_regression,0.8140969162995595,0.11937984496124031
logistic_regression,0.8123348017621146,0.11938365919979282
logistic_regression,0.8123348017621146,0.11964702828964444
logistic_regression,0.8105726872246696,0.11963589076723016
logistic_regression,0.8096916299559471,0.11977062426690994
logistic_regression,0.8079295154185022,0.11977533960292581
logistic_regression,0.8061674008810573,0.11978007592616835
logistic_regression,0.8052863436123348,0.11990030171848354
logistic_regression,0.8044052863436123,0.120036813042335
logistic_regression,0.8035242290748899,0.12017393595994202
logistic_regression,0.801762114537445,0.12016373960121485
logistic_regression,0.801762114537445,0.12043409211222869
logistic_regression,0.801762114537445,0.12070566388115135
logistic_regression,0.8008810572687225,0.12084551980856155
logistic_regression,0.8,0.12096989075406342
logistic_regression,0.7991189427312775,0.12111096274535986
logistic_regression,0.7991189427312775,0.1213865096359743
logistic_regression,0.798237885462555,0.12151287553648069
logistic_regression,0.7964757709251101,0.1215217099072456
logistic_regression,0.7947136563876652,0.12153058474804634
logistic_regression,0.7938325991189428,0.12167454422687374
logistic_regression,0.7938325991189428,0.12193801596968466
logistic_regression,0.7929515418502202,0.12208355941399891
logistic_regression,0.7903083700440529,0.12195785180149558
logistic_regression,0.7894273127753304,0.12208747785801881
logistic_regression,0.7876651982378855,0.1220977874897569
logistic_regression,0.7876651982378855,0.12238193018480492
logistic_regression,0.786784140969163,0.12253018660812294
logistic_regression,0.785022026431718,0.12252475247524752
logistic_regression,0.7841409691629956,0.12267401791867677
logistic_regression,0.7814977973568282,0.12254766510085659
logistic_regression,0.7788546255506608,0.12240376626973137
logistic_regression,0.7788546255506608,0.12269257460097155
logistic_regression,0.7779735682819383,0.12284362826933778
logistic_regression,0.7779735682819383,0.12313484869613722
logistic_regression,0.7779735682819383,0.12341020265548568
logistic_regression,0.7770925110132159,0.12356402353600449
logistic_regression,0.775330396475771,0.12357814913635726
logistic_regression,0.7744493392070485,0.12371569317382125
logistic_regression,0.771806167400881,0.12358916478555304
logistic_regression,0.7691629955947137,0.12346202800169707
logistic_regression,0.7682819383259912,0.1236178055004253
logistic_regression,0.7665198237885462,0.12361466325660699
logistic_regression,0.7647577092511013,0.12362911266201396
logistic_regression,0.7629955947136564,0.12364363221016562
logistic_regression,0.7612334801762115,0.12365822241305281
logistic_regression,0.7612334801762115,0.12394204561755846
logistic_regression,0.760352422907489,0.12410123669830314
logistic_regression,0.758590308370044,0.124117053481332
logistic_regression,0.7568281938325991,0.12411501228146221
logistic_regression,0.7550660792951542,0.12413093858632676
logistic_regression,0.7533039647577092,0.12414694351677073
logistic_regression,0.7524229074889868,0.12430858806404659
logistic_regression,0.7497797356828194,0.12416107382550336
logistic_regression,0.7480176211453744,0.12417727073277754
logistic_regression,0.7480176211453744,0.12448680351906158
logistic_regression,0.7480176211453744,0.1247795414462081
logistic_regression,0.745374449339207,0.12465006630322675
logistic_regression,0.7418502202643171,0.12437223042836042
logistic_regression,0.7409691629955947,0.12453724270694506
logistic_regression,0.7409691629955947,0.12483301172628766
logistic_regression,0.7409691629955947,0.12514880952380952
logistic_regression,0.7400881057268722,0.12531702222885274
logistic_regression,0.7383259911894273,0.1253177807686556
logistic_regression,0.7365638766519824,0.12533733133433284
logistic_regression,0.73568281938326,0.12550728994438598
logistic_regression,0.7348017621145374,0.1256781193490054
logistic_regression,0.7330396475770925,0.1256797583081571
logistic_regression,0.7312775330396476,0.12570043919430562
logistic_regression,0.7295154185022027,0.12572122684482234
logistic_regression,0.7295154185022027,0.12602739726027398
logistic_regression,0.7286343612334801,0.12620173966122386
logistic_regression,0.7268722466960352,0.12622399020807834
logistic_regression,0.7259911894273128,0.12639975456358338
logistic_regression,0.7251101321585903,0.1265569737044441
logistic_regression,0.7233480176211454,0.12658032685784767
logistic_regression,0.7233480176211454,0.12691296954707065
logistic_regression,0.7233480176211454,0.12722764605609793
logistic_regression,0.7233480176211454,0.12756370416407706
logistic_regression,0.720704845814978,0.12743417977878174
logistic_regression,0.720704845814978,0.12777257107154014
logistic_regression,0.7198237885462555,0.12793611024115253
logistic_regression,0.718942731277533,0.1281205840791333
logistic_regression,0.7180616740088106,0.12830604534005038
logistic_regression,0.7154185022026431,0.12815656565656566
logistic_regression,0.7145374449339207,0.12834309226143378
logistic_regression,0.7110132158590309,0.12805458584576326
logistic_regression,0.7101321585903083,0.12824184566428004
logistic_regression,0.7092511013215859,0.12840963471048014
logistic_regression,0.707488986784141,0.12843889955214333
logistic_regression,0.7057268722466961,0.12846832397754612
logistic_regression,0.7048458149779736,0.12863804470172052
logistic_regression,0.7048458149779736,0.1289906481780071
logistic_regression,0.7039647577092512,0.1291835084882781
logistic_regression,0.7039647577092512,0.1295395590142672
logistic_regression,0.7030837004405286,0.12971391417425226
logistic_regression,0.7004405286343612,0.1295843520782396
logistic_regression,0.6986784140969163,0.12961752206603466
logistic_regression,0.6969162995594713,0.12962962962962962
logistic_regression,0.6960352422907489,0.12982744453574363
logistic_regression,0.694273127753304,0.12986156888595912
logistic_regression,0.6933920704845815,0.13006114691786483
logistic_regression,0.6933920704845815,0.1304059652029826
logistic_regression,0.6925110132158591,0.13060817547357925
logistic_regression,0.6925110132158591,0.13097817030494918
logistic_regression,0.6925110132158591,0.13132832080200502
logistic_regression,0.6925110132158591,0.1317024128686327
logistic_regression,0.690748898678414,0.13174256427491177
logistic_regression,0.6872246696035242,0.13144590495449948
logistic_regression,0.6837004405286343,0.13112538019601216
logistic_regression,0.6837004405286343,0.13150313506185393
logistic_regression,0.6819383259911894,0.13154316791298437
logistic_regression,0.6801762114537445,0.13156100886162236
logistic_regression,0.6801762114537445,0.13194325756280978
logistic_regression,0.677533039647577,0.13181350702776826
logistic_regression,0.6766519823788546,0.13202681794739557
logistic_regression,0.6757709251101321,0.13221858300293052
logistic_regression,0.6757709251101321,0.13260719225449516
logistic_regression,0.6740088105726872,0.13265129183284202
logistic_regression,0.6713656387665198,0.13249869587897756
logistic_regression,0.6696035242290749,0.13254272758981514
logistic_regression,0.66784140969163,0.13258702116494664
logistic_regression,0.66784140969163,0.13298245614035087
logistic_regression,0.6651982378854625,0.13282899366643208
logistic_regression,0.6625550660792952,0.13269807658373037
logistic_regression,0.6616740088105727,0.1329203539823009
logistic_regression,0.6599118942731278,0.132942847000355
logistic_regression,0.6572687224669603,0.13281110913298913
logistic_regression,0.6563876651982379,0.13303571428571428
logistic_regression,0.6563876651982379,0.13344080243596632
logistic_regression,0.654625550660793,0.13346506197233698
logistic_regression,0.652863436123348,0.1335135135135135
logistic_regression,0.6502202643171806,0.13338152900777156
logistic_regression,0.6502202643171806,0.13376835236541598
logistic_regression,0.6502202643171806,0.13418181818181818
logistic_regression,0.6493392070484582,0.13441546598577422
logistic_regression,0.6493392070484582,0.13483351628247348
logistic_regression,0.6493392070484582,0.13522935779816514
