threshold,precision,recall,f1
0.0519616312295304,0.20783582089552238,0.4907488986784141,0.29200524246395804
0.0519798802990473,0.20791340052258306,0.4907488986784141,0.29208180388044047
0.0519976172672992,0.20799103808812547,0.4907488986784141,0.2921584054550223
0.0520056414950315,0.2080687336570788,0.4907488986784141,0.29223504721930743
0.0520185955637067,0.20814648729446936,0.4907488986784141,0.2923117292049331
0.0520390415748554,0.20822429906542056,0.4907488986784141,0.29238845144356956
0.0520579578973503,0.20830216903515333,0.4907488986784141,0.2924652139669205
0.0520614045710095,0.20838009726898615,0.4907488986784141,0.29254201680672265
0.0520891789119173,0.20845808383233533,0.4907488986784141,0.2926188599947465
0.0520955403494412,0.2085361287907151,0.4907488986784141,0.2926957435627956
0.0521058780504635,0.20861423220973782,0.4907488986784141,0.292772667542707
0.0521208931763466,0.20869239415511429,0.4907488986784141,0.2928496319663512
0.0521316217476917,0.20877061469265368,0.4907488986784141,0.2929266368656324
0.0521634167602823,0.20884889388826397,0.4907488986784141,0.2930036822724882
0.0522016846942384,0.20892723180795197,0.4907488986784141,0.29308076821888973
0.0522099242059186,0.20900562851782364,0.4907488986784141,0.2931578947368421
0.0522188574510661,0.20908408408408408,0.4907488986784141,0.29323506185838377
0.0522270930621479,0.20916259857303793,0.4907488986784141,0.29331226961558715
0.0522359290152187,0.2092411720510894,0.4907488986784141,0.29338951804055835
0.0522913961414191,0.20931980458474259,0.4907488986784141,0.29346680716543727
0.0523240851941351,0.2093984962406015,0.4907488986784141,0.2935441370223979
0.0523288468725075,0.20947724708537044,0.4907488986784141,0.29362150764364786
0.0523497257693266,0.20955605718585402,0.4907488986784141,0.293698919061429
0.0523682456949273,0.20925856228829506,0.48986784140969164,0.2932489451476793
0.052384435977437,0.20933734939759036,0.48986784140969164,0.29332629912951724
0.0524151247658142,0.20941619585687382,0.48986784140969164,0.2934036939313984
0.0524363785527706,0.20949510173323285,0.48986784140969164,0.29348112958564265
0.0524512068116768,0.209574067093856,0.48986784140969164,0.293558606124604
0.052533881027685,0.2096530920060332,0.48986784140969164,0.2936361235806707
0.0525650149522223,0.20973217653715578,0.48986784140969164,0.2937136819862652
0.0525733172440924,0.20981132075471698,0.48986784140969164,0.29379128137384414
0.0525808297450247,0.2098905247263118,0.48986784140969164,0.2938689217758986
0.0525843621627571,0.20996978851963746,0.48986784140969164,0.29394660322495375
0.0526071612427243,0.2100491122024934,0.48986784140969164,0.29402432575356957
0.0526411016311219,0.21012849584278157,0.48986784140969164,0.2941020893943401
0.0526559340221712,0.2102079395085066,0.48986784140969164,0.2941798941798942
0.0526765535488917,0.2102874432677761,0.48986784140969164,0.29425774014289496
0.0527031841170457,0.2103670071888006,0.48986784140969164,0.29433562731604024
0.0528054274370486,0.21044663133989402,0.48986784140969164,0.29441355573206246
0.0528132110527337,0.2101476713366149,0.4889867841409692,0.2939618644067797
0.0528160366402909,0.21022727272727273,0.4889867841409692,0.2940397350993378
0.0528602421497146,0.21030693444486548,0.4889867841409692,0.29411764705882354
0.0528618204643612,0.21038665655799849,0.4889867841409692,0.2941956003180493
0.0528717259756714,0.21046643913538113,0.4889867841409692,0.2942735949098622
0.0529019746299647,0.210546282245827,0.4889867841409692,0.29435163086714394
0.0529279084042765,0.21024667931688804,0.4881057268722467,0.2938992042440318
0.0529311706969973,0.21032649962034927,0.4881057268722467,0.2939771822764659
0.0530117472019844,0.21040638055450056,0.4881057268722467,0.2940552016985138
0.0530663813419771,0.21048632218844984,0.4881057268722467,0.29413326254313776
0.0531619273386817,0.21056632459141011,0.4881057268722467,0.29421136484333504
0.0531843169797273,0.21064638783269962,0.4881057268722467,0.29428950863213815
